Cidades,Quantidade_ton,PIB_reais_correntes_2016,População,Grau de Urbanização (Em %)
Adamantina,10864,1152441,33885,95.97
Adolfo,581,86465.71,3479,91.98
Aguai,13236,764287.5,34578,91.66
Aguas da Prata,2246,142654.3,7739,91.42
Aguas de Lindoia,5519,455273.8,18058,99.1
Aguas de Santa Barbara,1481,157569.2,5833,77.25
Aguas de São Pedro,835,132616.6,3004,100
Agudos,13154,2562986,35676,96.14
Alambari,1245,87284.02,5512,80.01
Alfredo Marcondes,1426,74431.59,3920,88.85
Altair,400,200101.3,3973,83.11
Altinopolis,7834,462342,15558,90.62
Alto Alegre,1140,102142,4047,83.32
Aluminio,4038,1808351,17636,83.87
Alvares Florence,2590,94952.88,3700,71.97
Alvaro de Carvalho,3241,49592.66,4922,66.25
Alvinlandia,3308,47168.6,3126,91.62
Americana,119627,10287915,227223,99.53
Americo Brasiliense,7721,837641.1,38572,99.24
Americo Campos,2290,99184.15,5733,86.66
Amparo,37321,3443771,68602,82.68
Analandia,973,142576.7,4694,82.59
Andradina,29000,3109727,55886,94.03
Angatuba,2813,834416.9,23811,73.95
Anhumas,1211,68007.1,3898,86.2
Aparecida,10995,1115003,35501,98.55
Aparecida D Oeste,310,98438.64,4222,85.62
Apiai,7114,614358.9,24688,78.7
Aracariguama,4485,2121497,19855,100
Aracatuba,64057,6938553,188097,98.07
Aracoiaba da Serra,8885,651158.1,30876,68.74
Arandu,2034,131273.1,6149,80.57
Araraquara,213318,8932928,222791,97.16
Araras,9239,4997486,127501,95.04
Arco-Iris,102,51987.15,1841,62.09
Arealva,4266,170709.1,8094,82.47
Ariranha,2099,654029.7,9098,94.7
Artur Nogueira,7704,991268.6,50351,90.54
Aruja,24967,4730400,85286,96.22
Aspasia,439,31011.57,1777,73.38
Assis,126010,2855490,99591,95.64
Atibaia,86325,5871980,135875,92.98
Avai,429,283506.6,5191,67.15
Avanhandava,1440,337181.8,11867,84.55
Avare,30392,2492529,86238,96.32
Bady Bassitt,4941,320650.9,15893,93.87
Balbinos,747,42728.14,3698,32.18
Balsamo,1679,177044.5,8429,92.93
Barao de Antonina,488,68572.59,3301,63.04
Barbosa,2083,100123,7072,85.25
Bariri,7962,1424982,33315,96.01
Barra Bonita,7520,1385046,35001,98.1
Barra do Chapeu,2316,81765.33,5439,29.44
Barra do Turvo,1694,80276.81,7670,45.02
Barrinha,4693,479540,31199,98.89
Barueri,94250,47088302,257525,100
Bastos,4669,822429.3,20276,87.98
Batatais,11033,1662099,59167,88.44
Bauru,94750,13141086,358619,98.33
Bebedouro,18018,3220044,74483,95.96
Bento de Abreu,100,127996.7,2866,94.73
Bertioga,31430,1487645,58595,98.89
Bilac,1133,187383.6,7606,93.73
Birigui,28921,3274072,117793,97.27
Bocaina,1718,1045240,11767,93.09
Bofete,2016,158686.7,10651,63.76
Boituva,17328,2610873,54817,94.07
Bom Jesus dos Perdoes,1236,550781.3,22966,90.28
Bom Sucesso de Itarare,1825,49398.45,3766,72.84
Bora,250,83825.06,810,77.9
Boraceia,827,199889.7,4615,90.79
Borborema,2753,387635.3,15114,93.14
Botucatu,35499,4842900,137334,96.56
Brauna,3859,87397.19,5402,91.5
Brejo Alegre,542,766056.2,2713,84.81
Brodowski,6800,537001.8,23177,98.5
Brotas,5062,670395.5,23212,86.72
Buri,8640,383837.4,19304,82.83
Buritama,14800,517636.2,16268,95.52
Cabralia Paulista,813,80710.24,4317,87.05
Cabreuva,21561,4141539,47068,88.34
Cacapava,22133,3580187,89483,85.56
Cachoeira Paulista,6000,559694.4,31623,82.95
Caconde,450,308767.2,18752,70.74
Cafelandia,2423,440010.3,17060,89.19
Caieiras,52825,2706457,96368,98.09
Caiua,516,78774.81,5435,38.31
Cajamar,31590,13020610,73588,98.68
Cajati,5396,1052221,28697,73.82
Cajobi,8,146390.5,10016,94.59
Cajuru,3336,546608.8,24981,89.26
Campina do Monte Alegre,2051,109868.9,5738,87.14
Campinas,729788,58523733,1150753,98.28
Campo Limpo Paulista,24737,1675995,80282,100
Campos do Jordao,21900,1197119,49442,99.38
Campos Novos Paulista,1910,137858.2,4732,81.3
Cananeia,8,203586.5,12263,86.43
Canas,1356,150703.3,4862,95.5
Candido Mota,15379,915663,29987,94.87
Candido Rodrigues,639,88308.96,2675,84.19
Capao Bonito,9956,832521.3,46247,84.13
Capela do Alto,4477,286886.7,19606,85.66
Capivari,15257,1606978,52543,97.09
Caraguatatuba,44291,2658208,111787,96.17
Carapicuiba,98468,5214113,387735,100
Cardoso,4056,209133.2,11749,91.7
Casa Branca,710,846567.6,29124,82.53
Cassia dos Coqueiros,900,140977.7,2529,74.38
Castilho,14753,594039.5,19929,75.46
Catanduva,40466,3856233,116051,99.2
Catigua,2124,102921.3,7418,92.9
Cedral,2437,272896.6,8592,81.87
Cerqueira Cesar,132,685903.9,18716,91.53
Cerquilho,11772,1702651,44552,94.83
Cesario Lange,4519,364362.5,16805,67.52
Charqueada,4600,272056.9,16394,91.27
Chavantes,4222,200611.1,12190,93.82
Clementina,290,214425,7970,96.55
Colina,13576,1136379,17550,94.89
Conchal,4262,641063.4,26682,96.21
Conchas,3650,323591.7,16882,84.17
Cordeiropolis,9655,2258963,23425,89.82
Coronel Macedo,810,77636.52,4874,80.63
Corumbatai,1248,166351.3,3936,60.01
Cosmopolis,19015,1318218,67647,92.87
Cosmorama,4526,227705.8,7059,74.46
Cotia,158528,10991458,233703,100
Cravinhos,10787,1037157,33633,98.28
Cristais Paulista,1920,177262.3,8187,80.31
Cruzalia,989,69483.22,2158,69.83
Cruzeiro,14487,1988301,79117,97.67
Cubatão,50596,17668001,126059,100
Descalvado,29217,1385107,32048,91.85
Diadema,116196,13229745,399510,100
