Localidades,Quantidade_ton,PIB_reais_correntes_2016,População,Grau de Urbanização (Em %),Total de Despesas Municipais  Saneamento 2011,Total de Despesas Municipais  Gestão Ambiental 2011,Total de Despesas Municipais - Saúde 2013
Adamantina,10864,1152441,33885,95.97,,680561,24724680
Adolfo,581,86465.71,3479,91.98,434748,1357,4092699
Aguaí,13236,764287.5,34578,91.66,3687577,98680,19178965
Águas da Prata,2246,142654.3,7739,91.42,,34417,5216848
Águas de Lindóia,5519,455273.8,18058,99.1,,603036,15899586
Águas de Santa Bárbara,1481,157569.2,5833,77.25,,39203,5345808
Águas de São Pedro,835,132616.6,3004,100,,250303,3956502
Agudos,13154,2562986,35676,96.14,397611,,35392129
Alambari,1245,87284.02,5512,80.01,4584,187227,4077468
Alfredo Marcondes,1426,74431.59,3920,88.85,,,3012173
Altair,400,200101.3,3973,83.11,,,4677181
Altinópolis,7834,462342,15558,90.62,1947309,116007,14525780
Alto Alegre,1140,102142,4047,83.32,,,5409710
Alumínio,4038,1808351,17636,83.87,142675,456156,10288934
Álvares Florence,2590,94952.88,3700,71.97,,,3662836
Álvaro de Carvalho,3241,49592.66,4922,66.25,,,2832105
Alvinlândia,3308,47168.6,3126,91.62,362087,,2934461
Americana,119627,10287915,227223,99.53,181048540,1451664,243411404
Américo Brasiliense,7721,837641.1,38572,99.24,3971482,282135,21033033
Américo de Campos,2290,99184.15,5733,86.66,608669,,3812230
Amparo,37321,3443771,68602,82.68,28808415,357994,62009815
Analândia,973,142576.7,4694,82.59,674756,,5142204
Andradina,29000,3109727,55886,94.03,1818730,1102391,33786859
Angatuba,2813,834416.9,23811,73.95,5636,,18108888
Anhumas,1211,68007.1,3898,86.2,,,3497501
Aparecida,10995,1115003,35501,98.55,,408937,15749016
Aparecida d'Oeste,310,98438.64,4222,85.62,,,4523087
Apiaí,7114,614358.9,24688,78.7,,415882,13007613
Araçariguama,4485,2121497,19855,100,,,17167582
Araçatuba,64057,6938553,188097,98.07,34599262,5038821,110005730
Araçoiaba da Serra,8885,651158.1,30876,68.74,1313929,118953,12077280
Arandu,2034,131273.1,6149,80.57,,385,5255840
Araraquara,213318,8932928,222791,97.16,98457462,11805745,199443892
Araras,9239,4997486,127501,95.04,23401499,296479,74795180
Arco-Íris,102,51987.15,1841,62.09,,119756,2670701
Arealva,4266,170709.1,8094,82.47,,389,5126988
Ariranha,2099,654029.7,9098,94.7,1534606,,13190442
Artur Nogueira,7704,991268.6,50351,90.54,8315697,,23783782
Arujá,24967,4730400,85286,96.22,114050,752,43196625
Aspásia,439,31011.57,1777,73.38,,57605,2655357
Assis,126010,2855490,99591,95.64,,,34118698
Atibaia,86325,5871980,135875,92.98,45062779,,84303442
Avaí,429,283506.6,5191,67.15,,841,3240080
Avanhandava,1440,337181.8,11867,84.55,1900205,34082,6440449
Avaré,30392,2492529,86238,96.32,431342,1273062,66472397
Bady Bassitt,4941,320650.9,15893,93.87,2968656,97155,9387959
Balbinos,747,42728.14,3698,32.18,,,1947481
Bálsamo,1679,177044.5,8429,92.93,844975,,4752995
Barão de Antonina,488,68572.59,3301,63.04,,,3115968
Barbosa,2083,100123,7072,85.25,615342,92158,4958349
Bariri,7962,1424982,33315,96.01,796992,,19338017
Barra Bonita,7520,1385046,35001,98.1,164333,4504280,21033325
