Localidades,Quantidade_ton,PIB_reais_correntes_2016,População,FN208 - Despesa total com o serviço de coleta de RDO e RPU (Antigo campo CO009),FN220 - Despesa total com serviços de manejo de RSU (Antigo campo GE007),FN223 - Despesa Corrente da Prefeitura durante o ano com TODOS os serviços do município (saúde. educação. pagamento de pessoal. etc.). (Antigo campo GE010),PO001 - O município possui Política de Saneamento Básico Conforme a Lei 11.445/2007?,PO028 - O município possui plano municipal de saneamento básico. elaborado nos termos estabelecidos na Lei 11.445/2007?
Adamantina,10864.00,1152441.00,33885.00,,1875250.78,85970325.36,1,1
Adolfo,581.00,86465.71,3479.00,,,,,
Aguaí,13236.00,764287.5,34578.00,410000.00,585600.00,67832976.54,1,1
Águas da Prata,2246.00,142654.3,7739.00,319889.16,440790.72,21475415.81,1,1
Águas de Lindóia,5519.00,455273.8,18058.00,,,,,
Águas de Santa Bárbara,1481.00,157569.2,5833.00,,,,,
Águas de São Pedro,835.00,132616.6,3004.00,303388.94,534411.29,18660516.09,1,1
Agudos,13154.00,2562986.00,35676.00,2500000.00,5020000.00,100000000.00,0,0
Alambari,1245.00,87284.02,5512.00,30000.00,59000.00,20000000.00,0,1
Alfredo Marcondes,1426.00,74431.59,3920.00,130200.00,274200.00,15070000.00,0,0
Altair,400.00,200101.3,3973.00,163826.87,572406.96,16259385.63,1,1
Altinópolis,7834.00,462342.00,15558.00,,1879888.77,53295200.25,1,1
Alto Alegre,1140.00,102142.00,4047.00,285404.59,292939.82,4000000.00,1,1
Alumínio,4038.00,1808351.00,17636.00,1820884.63,2059500.00,69981483.00,0,0
Álvares Florence,2590.00,94952.88,3700.00,265914.82,675300.94,16341066.97,0,0
Álvaro de Carvalho,3241.00,49592.66,4922.00,160620.79,680155.15,13525715.10,0,0
Alvinlândia,3308.00,47168.6,3126.00,252359.62,311303.59,11006403.90,0,0
Americana,119627.00,10287915.00,227223.00,9168399.56,17479420.22,663117059.70,1,1
Américo Brasiliense,7721.00,837641.1,38572.00,1249994.14,2897236.95,88855862.08,1,1
Américo de Campos,2290.00,99184.15,5733.00,68130.00,302243.00,18981042.00,0,0
Amparo,37321.00,3443771.00,68602.00,4406921.59,8196738.64,193823049.09,0,1
Analândia,973.00,142576.7,4694.00,,493860.00,22704594.14,0,0
Andradina,29000.00,3109727.00,55886.00,6000001.00,9000004.00,150000000.00,1,1
Angatuba,2813.00,834416.9,23811.00,,4040634.90,63310801.40,1,1
Anhumas,1211.00,68007.1,3898.00,235903.63,245479.53,15262475.84,0,0
Aparecida,10995.00,1115003.00,35501.00,1104677.09,2485344.55,109732763.41,0,1
Aparecida d'Oeste,310.00,98438.64,4222.00,206064.00,289624.63,14769793.70,1,1
Apiaí,7114.00,614358.9,24688.00,427000.00,772784.12,44796000.00,1,1
Araçariguama,4485.00,2121497.00,19855.00,323115.39,441135.19,98903723.56,0,0
Araçatuba,64057.00,6938553.00,188097.00,9488540.99,10982749.30,456628955.13,1,1
Araçoiaba da Serra,8885.00,651158.1,30876.00,,,,,
Arandu,2034.00,131273.1,6149.00,,831683.82,27488896.11,1,1
Araraquara,213318.00,8932928.00,222791.00,6897129.17,25373067.15,602550476.68,1,1
Araras,9239.00,4997486.00,127501.00,2856000.00,3757000.00,305766900.00,1,1
Arco-Íris,102.00,51987.15,1841.00,39907.90,129584.89,12391605.73,0,0
Arealva,4266.00,170709.1,8094.00,,535054.85,22400563.11,0,0
Ariranha,2099.00,654029.7,9098.00,,,,,
Artur Nogueira,7704.00,991268.6,50351.00,3658174.32,3806119.07,115211374.00,0,1
Arujá,24967.00,4730400.00,85286.00,4224000.00,10063584.00,245811968.69,0,1
Aspásia,439.00,31011.57,1777.00,215357.53,283415.01,11536091.10,0,1
Assis,126010.00,2855490.00,99591.00,2331000.00,4405700.00,271919323.83,0,0
Atibaia,86325.00,5871980.00,135875.00,15089849.84,18543108.26,401101651.70,0,1
Avaí,429.00,283506.6,5191.00,76984.89,381229.88,17121039.37,1,1
Avanhandava,1440.00,337181.8,11867.00,102454.79,791066.70,38407951.44,1,1
Avaré,30392.00,2492529.00,86238.00,3865519.54,9755497.90,209388793.85,0,0
Bady Bassitt,4941.00,320650.9,15893.00,1791362.19,1920041.32,48290360.43,1,1
Balbinos,747.00,42728.14,3698.00,118553.44,323209.54,12752313.49,0,0
Bálsamo,1679.00,177044.5,8429.00,201385.34,226673.66,21491368.32,0,0
Barão de Antonina,488.00,68572.59,3301.00,45000.00,107886.32,14126961.88,1,0
Barbosa,2083.00,100123.00,7072.00,190129.39,250220.45,22580800.67,1,1
Bariri,7962.00,1424982.00,33315.00,1013980.00,2465980.00,91561937.41,1,1
Barra Bonita,7520.00,1385046.00,35001.00,2641991.61,2861724.77,81944030.71,1,1
Barra do Chapéu,2316.00,81765.33,5439.00,119700.00,161700.00,15705627.31,0,0
Barra do Turvo,1694.00,80276.81,7670.00,42900.00,86271.66,30726931.50,0,0
Barrinha,4693.00,479540.00,31199.00,430778.03,503340.03,68897211.52,0,0
Barueri,94250.00,47088302.00,257525.00,,,,,
Bastos,4669.00,822429.3,20276.00,1027123.87,1072483.87,48000000.00,0,0
Batatais,11033.00,1662099.00,59167.00,,,,,
Bauru,94750.00,13141086.00,358619.00,15105028.51,26594371.51,777982907.60,1,1
Bebedouro,18018.00,3220044.00,74483.00,1205351.58,5370154.73,188103998.76,1,1
Bento de Abreu,100.00,127996.7,2866.00,,492881.92,16666485.36,1,1
Bertioga,31430.00,1487645.00,58595.00,12827932.70,25019974.56,300929957.54,0,1
Bilac,1133.00,187383.6,7606.00,119013.64,249719.07,19324724.10,1,0
Birigui,28921.00,3274072.00,117793.00,,1405379.00,18475203.55,0,1
Bocaina,1718.00,1045240.00,11767.00,186024.00,325176.00,35271240.55,1,1
Bofete,2016.00,158686.7,10651.00,166956.26,340246.92,32955072.94,0,0
Boituva,17328.00,2610873.00,54817.00,2348176.00,9884811.00,179396743.11,1,1
Bom Jesus dos Perdões,1236.00,550781.3,22966.00,2047315.79,3013813.88,59311448.16,1,1
Bom Sucesso de Itararé,1825.00,49398.45,3766.00,90284.50,163810.08,15865000.00,0,0
Borá,250.00,83825.06,810.00,30000.00,37920.00,330192.98,1,1
Boracéia,827.00,199889.7,4615.00,177000.00,400000.00,20873275.56,1,1
Borborema,2753.00,387635.3,15114.00,360405.28,378754.28,39956037.06,0,1
Botucatu,35499.00,4842900.00,137334.00,5220000.00,7160000.00,305842166.17,1,1
Braúna,3859.00,87397.19,5402.00,393450.99,404124.99,14055420.72,0,1
Brejo Alegre,542.00,766056.2,2713.00,171000.00,225540.00,17232567.30,0,1
Brodowski,6800.00,537001.8,23177.00,,900000.00,68887222.89,1,1
Brotas,5062.00,670395.5,23212.00,1451462.37,1792404.15,76441835.83,1,0
Buri,8640.00,383837.4,19304.00,400000.00,431057.36,55729732.44,0,0
Buritama,14800.00,517636.2,16268.00,387142.80,811463.43,50268678.57,1,1
Cabrália Paulista,813.00,80710.24,4317.00,,,,,
Cabreúva,21561.00,4141539.00,47068.00,4862619.30,8588083.30,186167706.00,1,1
Caçapava,22133.00,3580187.00,89483.00,3000000.00,8705000.00,215160539.43,0,1
Cachoeira Paulista,6000.00,559694.4,31623.00,1561512.93,3058980.18,73922606.79,0,0
Caconde,450.00,308767.2,18752.00,,891793.99,47309205.52,1,1
Cafelândia,2423.00,440010.3,17060.00,80000.00,194080.00,51333793.97,0,0
Caieiras,52825.00,2706457.00,96368.00,0.00,1376944.82,,1,1
Caiuá,516.00,78774.81,5435.00,33000.00,67580.00,1600000.00,1,1
Cajamar,31590.00,13020610.00,73588.00,,2867487.50,374596019.98,1,1
Cajati,5396.00,1052221.00,28697.00,862438.81,1362371.00,84204346.10,0,1
Cajobi,8.00,146390.5,10016.00,110400.00,168180.00,10163983.83,1,1
Cajuru,3336.00,546608.8,24981.00,,,,,
Campina do Monte Alegre,2051.00,109868.9,5738.00,,808283.50,17415406.05,1,0
Campinas,729788.00,58523733.00,1150753.00,49681281.23,153482157.66,3641746495.37,1,1
Campo Limpo Paulista,24737.00,1675995.00,80282.00,,,,,
Campos do Jordão,21900.00,1197119.00,49442.00,,,,,
Campos Novos Paulista,1910.00,137858.2,4732.00,25000.00,65000.00,700000.00,1,1
Cananéia,8.00,203586.5,12263.00,,,,,
Canas,1356.00,150703.3,4862.00,97775.89,343981.55,16108413.35,0,1
Cândido Mota,15379.00,915663.00,29987.00,997632.96,1387954.20,60123424.35,0,0
Cândido Rodrigues,639.00,88308.96,2675.00,98817.82,138824.12,12070107.71,0,1
Capão Bonito,9956.00,832521.3,46247.00,1874090.28,2540734.60,100917417.87,1,1
Capela do Alto,4477.00,286886.7,19606.00,1488485.69,1512787.13,44952158.56,1,1
Capivari,15257.00,1606978.00,52543.00,,4500000.00,175826128.35,0,1
Caraguatatuba,44291.00,2658208.00,111787.00,4574510.00,5449655.00,513772745.19,1,1
Carapicuíba,98468.00,5214113.00,387735.00,,,,,
Cardoso,4056.00,209133.2,11749.00,185400.00,441900.00,32229239.82,1,1
Casa Branca,710.00,846567.6,29124.00,231035.22,537125.27,92693257.41,0,1
Cássia dos Coqueiros,900.00,140977.7,2529.00,141003.24,240137.64,12999787.90,0,1
Castilho,14753.00,594039.5,19929.00,1189193.78,1414384.74,73189841.04,1,1
Catanduva,40466.00,3856233.00,116051.00,4971434.64,7521410.69,281563656.20,1,1
Catiguá,2124.00,102921.3,7418.00,422299.45,437070.83,18021244.68,1,1
Cedral,2437.00,272896.6,8592.00,299989.62,742732.47,28964652.72,0,0
Cerqueira César,132.00,685903.9,18716.00,,1078871.02,52391723.68,1,1
Cerquilho,11772.00,1702651.00,44552.00,1227534.55,2654957.14,136398450.71,0,1
Cesário Lange,4519.00,364362.5,16805.00,787390.26,1751613.17,14671976.00,0,1
Charqueada,4600.00,272056.9,16394.00,504682.19,610161.44,37824748.50,1,1
Chavantes,4222.00,200611.1,12190.00,102852.63,171891.22,31899105.94,0,0
Clementina,290.00,214425.00,7970.00,,267600.00,25236844.61,0,0
Colina,13576.00,1136379.00,17550.00,407658.85,1138505.86,56466529.43,0,0
Conchal,4262.00,641063.4,26682.00,1999672.45,2557202.79,70000000.00,1,1
Conchas,3650.00,323591.7,16882.00,606063.60,1000047.34,48850006.53,1,1
Cordeirópolis,9655.00,2258963.00,23425.00,,3000000.00,110750068.27,1,1
Coronel Macedo,810.00,77636.52,4874.00,,1000000.00,18000000.00,0,0
Corumbataí,1248.00,166351.3,3936.00,,697931.84,22426714.70,1,1
Cosmópolis,19015.00,1318218.00,67647.00,2005491.48,3400619.40,154176123.04,0,0
Cosmorama,4526.00,227705.8,7059.00,64722.53,72497.50,5294914.49,0,0
Cotia,158528.00,10991458.00,233703.00,32144662.56,40909874.76,655468836.11,1,1
Cravinhos,10787.00,1037157.00,33633.00,1556469.00,5863629.53,29318147.65,1,1
Cristais Paulista,1920.00,177262.3,8187.00,959000.00,984020.00,25300000.00,0,0
Cruzália,989.00,69483.22,2158.00,278920.52,669427.25,13606065.57,1,1
Cruzeiro,14487.00,1988301.00,79117.00,2561211.00,2889642.00,90577928.00,1,1
Cubatão,50596.00,17668001.00,126059.00,11885458.43,20582487.17,1091273428.56,0,1
Descalvado,29217.00,1385107.00,32048.00,1953141.52,2894198.03,92575656.85,1,1
Diadema,116196.00,13229745.00,399510.00,14228157.00,51982206.00,1080491689.00,1,1
Dirce Reis,500.00,52678.13,1712.00,200000.00,393922.53,10772471.09,1,0
Divinolândia,370.00,269347.3,10966.00,140408.84,186317.78,27484530.59,0,1
Dobrada,2800.00,98288.5,8615.00,299234.86,319239.27,17384704.27,1,1
Dois Córregos,4900.00,683547.8,26305.00,1060701.30,1941835.77,56697504.85,1,1
Dolcinópolis,1359.00,43339.18,2058.00,,164430.05,8695517.70,1,1
Dourado,1330.00,699914.6,8516.00,,558877.51,22678040.95,1,1
Dracena,19173.00,1121150.00,44545.00,1057676.48,1821596.65,104291974.06,0,0
Duartina,3654.00,215271.8,12059.00,812227.48,838033.28,32955517.36,0,0
Dumont,2245.00,235049.6,9200.00,241831.29,367232.65,32863835.61,1,1
Echaporã,41450.00,128877.4,6244.00,149053.90,172084.19,19096701.80,1,1
Eldorado,180.00,224074.9,14990.00,,465000.00,25000000.00,1,1
Elias Fausto,4470.00,594380.6,16901.00,1433625.97,1692427.47,50046663.47,0,0
Elisiário,614.00,62633.56,3393.00,450000.00,540074.84,14476655.66,1,1
Embaúba,443.00,47867.13,2408.00,66915.07,397011.67,14037848.29,1,1
Embu das Artes,70122.00,10004647.00,261836.00,20230000.00,26705000.00,463052807.19,1,1
Embu-Guaçu,24838.00,1063716.00,66470.00,4230094.66,5133944.77,127000491.81,1,1
Engenheiro Coelho,2042.00,439779.4,19190.00,897772.86,927768.39,41412277.19,1,1
Espírito Santo do Pinhal,8915.00,1327264.00,42405.00,4133477.82,5210836.87,94526192.10,1,1
Estiva Gerbi,3328.00,234026.5,10777.00,167557.12,1493137.47,34374917.58,0,0
Estrela d'Oeste,2800.00,578256.3,8132.00,120713.56,578919.77,26977575.56,0,1
Estrela do Norte,885.00,83359.7,2658.00,85184.93,659295.94,13583493.76,0,0
Euclides da Cunha Paulista,1362.10,112223.9,9514.00,378296.48,1113162.91,26471533.19,0,0
Fernando Prestes,972.00,163966.6,5566.00,,,,,
Fernandópolis,36179.00,1975540.00,65776.00,3211111.73,5717043.78,99863008.90,1,1
Fernão,321.10,48527.61,1622.00,90365.00,150143.14,4802487.42,1,1
Ferraz de Vasconcelos,61517.00,2859009.00,185584.00,14723330.97,21838504.10,265920915.62,1,1
Flora Rica,1.70,35513.77,1628.00,90000.00,163000.00,11046592.64,1,1
Floreal,516.00,55110.45,2897.00,90385.88,183721.96,13401845.41,0,0
Franca,99930.00,9689019.00,335564.00,8107018.38,19199702.87,617038036.12,0,0
Francisco Morato,73498.40,1372211.00,168120.00,,6255347.01,197399305.00,1,1
Franco da Rocha,89033.00,2460082.00,146129.00,10879954.20,17989866.21,267447400.00,1,1
Gabriel Monteiro,330.00,59427.23,2694.00,,71541.24,12403330.11,0,0
Gália,1800.00,122800.00,6663.00,437528.88,561831.96,18250216.41,1,1
